,Nome via,period,year,order,label,month,tot_day
138,VIA ALFONSO RUBBIANI,2,2022,20222,,2022-06,3715.4698924731183
139,VIA ALFONSO RUBBIANI,3,2022,20223,,2022-09,3701.199641577061
140,VIA ALFONSO RUBBIANI,4,2022,20224,,2022-12,5133.926881720429
141,VIA ALFONSO TORREGGIANI,1,2022,20221,2022,2022-03,3549.3087557603685
142,VIA ALFONSO TORREGGIANI,2,2022,20222,,2022-06,3715.786379928315
143,VIA ALFONSO TORREGGIANI,3,2022,20223,,2022-09,3109.83835125448
144,VIA ALFONSO TORREGGIANI,4,2022,20224,,2022-12,3673.9308243727596
145,VIA AMEDEO PARMEGGIANI,1,2022,20221,2022,2022-03,3284.6428571428573
146,VIA AMEDEO PARMEGGIANI,2,2022,20222,,2022-06,3468.355734767025
147,VIA AMEDEO PARMEGGIANI,3,2022,20223,,2022-09,2871.729390681003
148,VIA AMEDEO PARMEGGIANI,4,2022,20224,,2022-12,3463.505197132616
149,VIA AMILCARE PONCHIELLI,1,2022,20221,2022,2022-03,1599.2566564260112
150,VIA AMILCARE PONCHIELLI,2,2022,20222,,2022-06,938.6415770609319
151,VIA AMILCARE PONCHIELLI,3,2022,20223,,2022-09,351.6477897252091
152,VIA AMILCARE PONCHIELLI,4,2022,20224,,2022-12,1437.4881720430105
153,VIA ANDREA COSTA,1,2022,20221,2022,2022-03,7334.52184139785
154,VIA ANDREA COSTA,2,2022,20222,,2022-06,7200.277822580644
155,VIA ANDREA COSTA,3,2022,20223,,2022-09,5592.43015232975
156,VIA ANDREA COSTA,4,2022,20224,,2022-12,8088.553897849462
157,VIA ANTONIO CAVALIERI DUCATI,1,2022,20221,2022,2022-03,8359.848694316437
158,VIA ANTONIO CAVALIERI DUCATI,2,2022,20222,,2022-06,8949.953046594981
159,VIA ANTONIO CAVALIERI DUCATI,3,2022,20223,,2022-09,7578.514336917563
160,VIA ANTONIO CAVALIERI DUCATI,4,2022,20224,,2022-12,8294.420071684588
161,VIA ANTONIO GIURIOLO,1,2022,20221,2022,2022-03,846.9660138248847
162,VIA ANTONIO GIURIOLO,2,2022,20222,,2022-06,3078.0100358422937
163,VIA ANTONIO GIURIOLO,3,2022,20223,,2022-09,2800.0137992831537
164,VIA ANTONIO GIURIOLO,4,2022,20224,,2022-12,2930.547311827957
165,VIA ANTONIO LABRIOLA,1,2022,20221,2022,2022-03,1146.470430107527
166,VIA ANTONIO LABRIOLA,2,2022,20222,,2022-06,1165.0741935483873
167,VIA ANTONIO LABRIOLA,3,2022,20223,,2022-09,878.489605734767
168,VIA ANTONIO LABRIOLA,4,2022,20224,,2022-12,1210.3383512544804
169,VIA ANTONIO VIVALDI,1,2022,20221,2022,2022-03,387.69508448540705
170,VIA ANTONIO VIVALDI,2,2022,20222,,2022-06,463.98422939068104
171,VIA ANTONIO VIVALDI,3,2022,20223,,2022-09,376.76487455197133
172,VIA ANTONIO VIVALDI,4,2022,20224,,2022-12,392.9706093189964
173,VIA ARCANGELO CORELLI,1,2022,20221,2022,2022-03,3689.1155913978496
174,VIA ARCANGELO CORELLI,2,2022,20222,,2022-06,3891.090322580645
175,VIA ARCANGELO CORELLI,3,2022,20223,,2022-09,3184.5007168458783
176,VIA ARCANGELO CORELLI,4,2022,20224,,2022-12,3723.58458781362
177,VIA ARISTOTILE FIORAVANTI,1,2022,20221,2022,2022-03,6290.889938556068
178,VIA ARISTOTILE FIORAVANTI,2,2022,20222,,2022-06,6758.435627240143
179,VIA ARISTOTILE FIORAVANTI,3,2022,20223,,2022-09,5930.64623655914
180,VIA ARISTOTILE FIORAVANTI,4,2022,20224,,2022-12,6680.681648745519
181,VIA ARNO,1,2022,20221,2022,2022-03,5366.927693658108
182,VIA ARNO,2,2022,20222,,2022-06,5518.5545314900155
183,VIA ARNO,3,2022,20223,,2022-09,4490.16785121077
184,VIA ARNO,4,2022,20224,,2022-12,5565.714217443249
185,VIA AUGUSTO MURRI,1,2022,20221,2022,2022-03,7980.518363357073
186,VIA AUGUSTO MURRI,2,2022,20222,,2022-06,8549.37109807755
187,VIA AUGUSTO MURRI,3,2022,20223,,2022-09,6802.330563701532
188,VIA AUGUSTO MURRI,4,2022,20224,,2022-12,7927.407624633431
189,VIA AUGUSTO ROMAGNOLI,1,2022,20221,2022,2022-03,1294.9546850998465
190,VIA AUGUSTO ROMAGNOLI,2,2022,20222,,2022-06,1343.3333333333333
191,VIA AUGUSTO ROMAGNOLI,3,2022,20223,,2022-09,465.43261648745516
192,VIA AUGUSTO ROMAGNOLI,4,2022,20224,,2022-12,0.0
193,VIA AURELIO SAFFI,1,2022,20221,2022,2022-03,8974.151113671274
194,VIA AURELIO SAFFI,2,2022,20222,,2022-06,9541.382676224612
195,VIA AURELIO SAFFI,3,2022,20223,,2022-09,8823.403106332138
196,VIA AURELIO SAFFI,4,2022,20224,,2022-12,9655.50836320191
197,VIA AZZURRA,1,2022,20221,2022,2022-03,7389.472350230415
198,VIA AZZURRA,2,2022,20222,,2022-06,4780.821178394013
199,VIA AZZURRA,3,2022,20223,,2022-09,4025.7485065710875
200,VIA AZZURRA,4,2022,20224,,2022-12,5285.314336917562
201,VIA BASSA DEI SASSI,1,2022,20221,2022,2022-03,1770.358678955453
202,VIA BASSA DEI SASSI,2,2022,20222,,2022-06,3137.815770609319
203,VIA BASSA DEI SASSI,3,2022,20223,,2022-09,3010.9301075268813
204,VIA BASSA DEI SASSI,4,2022,20224,,2022-12,3256.883870967742
205,VIA BATTINDARNO,1,2022,20221,2022,2022-03,6503.355468258164
206,VIA BATTINDARNO,2,2022,20222,,2022-06,7368.878826728826
207,VIA BATTINDARNO,3,2022,20223,,2022-09,5713.8640860215055
208,VIA BATTINDARNO,4,2022,20224,,2022-12,5670.100071684588
209,VIA BELLARIA,1,2022,20221,2022,2022-03,1834.2259710335748
210,VIA BELLARIA,2,2022,20222,,2022-06,1560.8658986175117
211,VIA BELLARIA,3,2022,20223,,2022-09,1568.211213517665
212,VIA BELLARIA,4,2022,20224,,2022-12,2194.227342549923
213,VIA BENEDETTO MARCELLO,1,2022,20221,2022,2022-03,5624.49452764977
214,VIA BENEDETTO MARCELLO,2,2022,20222,,2022-06,5867.952508960574
215,VIA BENEDETTO MARCELLO,3,2022,20223,,2022-09,5047.315501792114
216,VIA BENEDETTO MARCELLO,4,2022,20224,,2022-12,5680.311559139785
217,VIA BORGONUOVO,1,2022,20221,2022,2022-03,1578.288786482335
218,VIA BORGONUOVO,2,2022,20222,,2022-06,1549.694623655914
219,VIA BORGONUOVO,3,2022,20223,,2022-09,1220.341577060932
220,VIA BORGONUOVO,4,2022,20224,,2022-12,1749.568817204301
221,VIA CADRIANO,1,2022,20221,2022,2022-03,1144.760464669739
222,VIA CADRIANO,2,2022,20222,,2022-06,1293.4967741935484
223,VIA CADRIANO,3,2022,20223,,2022-09,1299.0142424495014
224,VIA CADRIANO,4,2022,20224,,2022-12,1780.434946236559
225,VIA CADUTI DI AMOLA,1,2022,20221,2022,2022-03,1958.7173579109065
226,VIA CADUTI DI AMOLA,2,2022,20222,,2022-06,1895.221505376344
227,VIA CADUTI DI AMOLA,3,2022,20223,,2022-09,1687.0956989247313
228,VIA CADUTI DI AMOLA,4,2022,20224,,2022-12,1795.6487455197132
229,VIA CADUTI DI CASTELDEBOLE,1,2022,20221,2022,2022-03,1134.223886328725
230,VIA CADUTI DI CASTELDEBOLE,2,2022,20222,,2022-06,1158.2867383512546
231,VIA CADUTI DI CASTELDEBOLE,3,2022,20223,,2022-09,700.0896057347669
232,VIA CADUTI DI CASTELDEBOLE,4,2022,20224,,2022-12,1147.8232974910395
233,VIA CALABRIA,1,2022,20221,2022,2022-03,1563.1705069124425
234,VIA CALABRIA,2,2022,20222,,2022-06,66.13978494623656
235,VIA CALABRIA,3,2022,20223,,2022-09,166.44982078853045
236,VIA CALABRIA,4,2022,20224,,2022-12,1853.2408602150538
