idx,stname,period,year,order,label,month,tot_day
1816,via del pilastro,2,2019,20192,,2019-09,909.7937275985663
1836,via del pozzo,1,2019,20191,2019,2019-06,4962.315476190476
1846,via del pozzo,2,2019,20192,,2019-09,2535.6057347670253
1856,via del timavo,1,2019,20191,2019,2019-06,4295.1621255760365
1866,via del timavo,2,2019,20192,,2019-09,3970.1619623655915
1876,via del triumvirato,1,2019,20191,2019,2019-06,7191.171319764465
1955,via del triumvirato,2,2019,20192,,2019-09,6169.3931899641575
2034,via dell'angelo custode,1,2019,20191,2019,2019-06,1394.3560163850486
2052,via dell'angelo custode,2,2019,20192,,2019-09,1250.9268817204302
2070,via dell'artigiano,1,2019,20191,2019,2019-06,10779.546274961598
2072,via dell'artigiano,2,2019,20192,,2019-09,10147.333691756272
2074,via dell'indipendenza,1,2019,20191,2019,2019-06,3502.677577231609
2079,via dell'indipendenza,2,2019,20192,,2019-09,3748.3295698924726
2084,via della barca,1,2019,20191,2019,2019-06,5995.40041218638
2124,via della barca,2,2019,20192,,2019-09,5937.306666666667
2164,via della certosa,1,2019,20191,2019,2019-06,783.2313364055299
2168,via della certosa,2,2019,20192,,2019-09,507.8666666666666
2172,via della croce coperta,1,2019,20191,2019,2019-06,3154.5953533026113
2198,via della croce coperta,2,2019,20192,,2019-09,3529.6887096774194
2224,via della crocetta,1,2019,20191,2019,2019-06,1021.803392217102
2226,via della crocetta,2,2019,20192,,2019-09,912.5793906810036
2228,via della direttissima,1,2019,20191,2019,2019-06,2094.8775089605733
2231,via della direttissima,2,2019,20192,,2019-09,1826.9213261648745
2234,via della foscherara,1,2019,20191,2019,2019-06,9526.098323092678
2238,via della foscherara,2,2019,20192,,2019-09,8050.00017921147
2242,via della liberazione,1,2019,20191,2019,2019-06,8500.311847158218
2246,via della liberazione,2,2019,20192,,2019-09,7981.790053763441
2250,via della pietra,1,2019,20191,2019,2019-06,5862.41164234511
2267,via della pietra,2,2019,20192,,2019-09,5529.421326164874
2284,via della salute,1,2019,20191,2019,2019-06,2992.7169930875575
2334,via della salute,2,2019,20192,,2019-09,2392.142562724014
2384,via delle lame,1,2019,20191,2019,2019-06,5883.153993855606
2395,via delle lame,2,2019,20192,,2019-09,5320.699342891278
2406,via di casaglia,1,2019,20191,2019,2019-06,1840.1552163338454
2432,via di casaglia,2,2019,20192,,2019-09,1691.44229390681
2458,via di corticella,1,2019,20191,2019,2019-06,8172.529458176232
2543,via di corticella,2,2019,20192,,2019-09,8698.446301726946
2628,via di s.luca,1,2019,20191,2019,2019-06,1340.3697004608296
2629,via di s.luca,2,2019,20192,,2019-09,1263.638888888889
2630,via di saliceto,1,2019,20191,2019,2019-06,4010.6136968766
2651,via di saliceto,2,2019,20192,,2019-09,3172.818817204301
2672,via dionisio calvart,1,2019,20191,2019,2019-06,2872.1089605734765
2674,via dionisio calvart,2,2019,20192,,2019-09,2667.282258064516
2676,via domenico biancolelli,1,2019,20191,2019,2019-06,2903.869802867384
2690,via domenico biancolelli,2,2019,20192,,2019-09,2716.365860215054
2704,via domenico zampieri,1,2019,20191,2019,2019-06,1823.6794930875576
2707,via domenico zampieri,2,2019,20192,,2019-09,1715.286200716846
2710,via don giovanni minzoni,1,2019,20191,2019,2019-06,7224.863389656938
2721,via don giovanni minzoni,2,2019,20192,,2019-09,4546.604659498208
2732,via don luigi sturzo,1,2019,20191,2019,2019-06,5294.515076164874
2751,via don luigi sturzo,2,2019,20192,,2019-09,5522.955465949821
2770,via donato creti,1,2019,20191,2019,2019-06,12090.37825140809
2784,via donato creti,2,2019,20192,,2019-09,11184.402598566308
2798,via duccio di boninsegna,1,2019,20191,2019,2019-06,0.0
2802,via duccio di boninsegna,2,2019,20192,,2019-09,722.5835125448028
2806,via due madonne,1,2019,20191,2019,2019-06,6096.098067076294
2836,via due madonne,2,2019,20192,,2019-09,5756.149238351255
2866,via edoardo ferravilla,1,2019,20191,2019,2019-06,3705.637250384025
2872,via edoardo ferravilla,2,2019,20192,,2019-09,3674.1421146953403
2878,via emilia levante,1,2019,20191,2019,2019-06,5490.688129800307
2943,via emilia levante,2,2019,20192,,2019-09,5576.997598566309
3008,via emilia ponente,1,2019,20191,2019,2019-06,7226.829655231268
3076,via emilia ponente,2,2019,20192,,2019-09,6705.469199522103
3144,via emilio salgari,1,2019,20191,2019,2019-06,1289.8594982078853
3150,via emilio salgari,2,2019,20192,,2019-09,1109.3675627240143
3156,via enrico mattei,1,2019,20191,2019,2019-06,5156.436123911931
3201,via enrico mattei,2,2019,20192,,2019-09,7204.84605734767
3246,via ermanno galeotti,1,2019,20191,2019,2019-06,10479.997631848439
3247,via ermanno galeotti,2,2019,20192,,2019-09,9841.176702508961
3248,via ermete novelli,1,2019,20191,2019,2019-06,2143.838248847926
3253,via ermete novelli,2,2019,20192,,2019-09,1823.2560931899643
3258,via ermete zacconi,1,2019,20191,2019,2019-06,4781.8181643625185
3259,via ermete zacconi,2,2019,20192,,2019-09,2496.5802867383513
3260,via ernesto masi,1,2019,20191,2019,2019-06,3908.300689207746
3272,via ernesto masi,2,2019,20192,,2019-09,3639.6815412186384
3284,via farini,1,2019,20191,2019,2019-06,12.903225806451614
3285,via farini,2,2019,20192,,2019-09,20.059139784946236
3286,via faustino malaguti,1,2019,20191,2019,2019-06,5041.181362007169
3296,via faustino malaguti,2,2019,20192,,2019-09,9358.718637992832
3306,via felice battaglia,1,2019,20191,2019,2019-06,449.9070532514081
3312,via felice battaglia,2,2019,20192,,2019-09,363.1921146953405
3318,via ferrarese,1,2019,20191,2019,2019-06,5727.020962621608
3400,via ferrarese,2,2019,20192,,2019-09,5747.901899641577
3482,via ferruccio parri,1,2019,20191,2019,2019-06,1574.9360343061956
3487,via ferruccio parri,2,2019,20192,,2019-09,1062.98458781362
3492,via filippo beroaldo,1,2019,20191,2019,2019-06,3314.8494154292543
3509,via filippo beroaldo,2,2019,20192,,2019-09,3070.11421744325
3526,via filippo de pisis,1,2019,20191,2019,2019-06,6433.816871479775
3536,via filippo de pisis,2,2019,20192,,2019-09,5909.14193548387
3546,via filippo schiassi,1,2019,20191,2019,2019-06,1527.38476062468
3557,via filippo schiassi,2,2019,20192,,2019-09,1466.2556451612902
3568,via firenze,1,2019,20191,2019,2019-06,6498.187275985663
3583,via firenze,2,2019,20192,,2019-09,6221.26935483871
3598,via francesca e.de giovanni,1,2019,20191,2019,2019-06,2208.858832565284
3599,via francesca e.de giovanni,2,2019,20192,,2019-09,2016.6301075268818
3600,via francesco barbieri,1,2019,20191,2019,2019-06,5070.122738521933
3601,via francesco barbieri,2,2019,20192,,2019-09,4430.686499402628
3602,via francesco cavazzoni,1,2019,20191,2019,2019-06,3831.2101638504864
3618,via francesco cavazzoni,2,2019,20192,,2019-09,3482.309617682198
3634,via francesco roncati,1,2019,20191,2019,2019-06,1712.1404121863798
3646,via francesco roncati,2,2019,20192,,2019-09,1496.3987455197132
3658,via francesco zanardi,1,2019,20191,2019,2019-06,9873.559084741424
3732,via francesco zanardi,2,2019,20192,,2019-09,8864.877795698923
3806,via franco bolognese,1,2019,20191,2019,2019-06,12714.935675883256
3809,via franco bolognese,2,2019,20192,,2019-09,11893.878315412187
3812,via g.battista de rolandis,1,2019,20191,2019,2019-06,832.6276881720429
